ESTADO;CIDADE;x;y;TIPO;NOME;TEXTO
RIO GRANDE DO SUL;Viamão;705,248;1141,026;Cooperativa;COOCMAR - COOPERATIVA DE CATADORES DE MATERIAL RECICLÁVEL DO MUNICÍPIO DE BOQUIM;
BAHIA;Salvador;1066,307;544,564;Cooperativa;COOLABORE FILIAL 2 - COOPERATIVA DE TRABALHO, LIMPEZA URBANA E RECICLAGEM COOLABORE;
SÃO PAULO;Arujá;796,952;910,923;Cooperativa;COOMARCA - COOPERATIVA DE CATADORES DE MATERIAIS RECICLAVEIS DE PETROLINA;
MINAS GERAIS;Uberlândia;791,193;746,469;Cooperativa;COOMCAT - COOPERATIVA DE CATADORES E RECICLADORES DE SANTA CRUZ DO SUL;
MATO GROSSO;Campo Verde;590,552;660,055;Cooperativa;COOMCREAL - COOPERATIVA MISTA DE COLETA E RECICLAGEM DE MATERIAIS REAPROVEITÁVEIS, EDUCAÇÃO AMBIENTAL DE ENCRUZILHADA DO SUL;
PARANÁ;Ribeirão Claro;735,869;896,759;Cooperativa;COOMSERC - COOPERATIVA MISTA DE SERVIÇO DO CABO DE SANTO AGOSTINHO;
SÃO PAULO;Poá;824,269;933,801;Cooperativa;COOP COELHO NETO - COOPERATIVA DE TRABALHO E PRODUÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS DE COELHO NETO;
RIO GRANDE DO SUL;Porto Alegre;682,395;1133,422;Cooperativa;COOPARC - COOPERATIVA DE TRABALHO EM COLETA SELETIVA E RECICLAGEM DE CURAÇÁ;
RIO GRANDE DO SUL;São Lourenço do Sul;652,402;1173,643;Cooperativa;COOPCARE - COOPERATIVA DOS CATADORES DE MATERIAIS RECICLÁVEIS DE PAÇO DO LUMIAR;
RIO GRANDE DO SUL;Santo Ângelo;608,372;1054,774;Cooperativa;COOPCARMO - COOPERATIVA MISTA DE COLETA SELETIVA E REAPROVEITAMENTO DE MESQUITA LTDA;
RIO DE JANEIRO;Volta Redonda;912,053;870,153;Cooperativa;COOPECAPI - COOPERATIVA DE CATADORES DE SAO JOAO DE PIRABAS;
PARANÁ;Curitiba;739,543;960,203;Cooperativa;COOPECMARCA - COOPERATIVA DOS CATADORES DE MATERIAIS RECICLÁVEIS DE CAMPO ALEGRE;
