BAHIA;Salvador;1053,554;559,291;Cooperativa;COOPERLIX - COOPERATIVA DE RECICLAGEM DE LIXO;-
BAHIA;Guanambi;1053,554;559,291;Cooperativa;COOTAEG - COOPERATIVA DE TRABALHO DOS AGENTES ECOLÓGICOS DE GUANAMBI;-
BAHIA;Salvador;1066,307;544,564;Cooperativa;COPERBRAVA - COOPERATIVA DOS RECICLADORES DA UNIDADE DE CANABRAVA;-
BAHIA;Vitória da Conquista;1012,255;632,554;Cooperativa;RECICLA CONQUISTA - COOPERATIVA DE CATADORES RECICLA CONQUISTA;-
BAHIA;Entre Rios;1083,523;549,684;Cooperativa;VERDECOOP - COOPERATIVA DE RECICLAGEM E COMPOSTAGEM DA COSTA DOS COQUEIROS LTDA;-
MATO GROSSO;Cuiabá;557,865;643,011;Cooperativa;ACAMARC - ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS DE CUIABÁ;-
MATO GROSSO;Várzea Grande;541,952;656,445;Cooperativa;ASSCAVAG - ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS DE VÁRZEA GRANDE;-
MATO GROSSO;Tangará da Serra;502,474;610,304;Cooperativa;COOPERTAN - COOPERATIVA DE PRODUÇÃO DE MATERIAL RECICLAVEL DE TANGARA DA SERRA, ESTADO DE MATO GROSSO;-
MATO GROSSO;Cuiabá;556,598;662,825;Cooperativa;COOREPAM - COOPERATIVA ALTERNATIVA DE CATADORES, RECICLAGEM E PRESERVAÇÃO DO MEIO AMBIENTE DO ESTADO DE MATO GROSSO;-
MATO GROSSO;Campo Verde;590,552;660,055;Cooperativa;COTRAMAR - COOPERATIVA DE TRABALHO DE MANEJO E RECICLAGEM DE RESIDUOS SOLIDOS;-
MATO GROSSO;Nova Mutum;563,648;580,336;Cooperativa;NOVA MUTUM - ASSOCIACAO DE COLETORES E SELECIONADORES DE MATERIAIS RECICLAVEIS DE NOVA MUTUM;-
MATO GROSSO DO SUL;Terenos;579,306;810,822;Cooperativa;ACATE - ASSOCIAÇÃO DE CATADORES DE RECICLÁVEIS DE TERENOS;-
MATO GROSSO DO SUL;Brasilândia;658,937;839,285;Cooperativa;ASSOBRAA - ASSOCIAÇÃO BRASILANDENSE DE AGENTES AMBIENTAIS;-
MATO GROSSO DO SUL;São Gabriel do Oeste;586,445;773,655;Cooperativa;COOPERASGO - COOPERATIVA REGIONAL DE COLETA SELETIVA E RECICLAGEM DE SÃO GABRIEL DO OESTE;-
MATO GROSSO DO SUL;Campo Grande;595,049;816,672;Cooperativa;COOPERVIDA - COOPERATIVA DE AGENTES RECICLADORES VIDA NOVA;-
DISTRITO FEDERAL;Brasília;814,44;650,202;Cooperativa;ACOBRAZ - ASSOCIAÇÃO DOS CATADORES E RECICLADORES DE RESIDUOS SÓLIDOS DE BRAZLÂNDIA;-
DISTRITO FEDERAL;Brasília;799,311;648,612;Cooperativa;AMBIENTE - ASSOCIACAO DOS CATADORES AMBIENTALISTAS DA ESTRUTURAL;-
